kode_kemendagri;kode_pos;kelurahan;kecamatan;kota;provinsi
11.01.01.2001;23773;Keude Bakongan;Bakongan;Kabupaten Aceh Selatan;Aceh
11.01.01.2002;23773;Ujong Mangki;Bakongan;Kabupaten Aceh Selatan;Aceh
11.01.01.2003;23773;Ujong Padang;Bakongan;Kabupaten Aceh Selatan;Aceh
11.01.01.2004;23773;Gampong Drien;Bakongan;Kabupaten Aceh Selatan;Aceh
11.01.01.2015;23773;Darul Ikhsan;Bakongan;Kabupaten Aceh Selatan;Aceh
11.01.01.2016;23773;Padang Beurahan;Bakongan;Kabupaten Aceh Selatan;Aceh
11.01.01.2017;23773;Gampong Baro;Bakongan;Kabupaten Aceh Selatan;Aceh
11.01.02.2001;23771;Fajar Harapan;Kluet Utara;Kabupaten Aceh Selatan;Aceh
11.01.02.2002;23771;Krueng Batee;Kluet Utara;Kabupaten Aceh Selatan;Aceh
11.01.02.2003;23771;Pasi Kuala Asahan;Kluet Utara;Kabupaten Aceh Selatan;Aceh
11.01.02.2004;23771;Gunung Pulo;Kluet Utara;Kabupaten Aceh Selatan;Aceh
11.01.02.2005;23771;Pulo Ie I;Kluet Utara;Kabupaten Aceh Selatan;Aceh
11.01.02.2006;23771;Jambo Manyang;Kluet Utara;Kabupaten Aceh Selatan;Aceh
11.01.02.2007;23771;Simpang Empat;Kluet Utara;Kabupaten Aceh Selatan;Aceh
11.01.02.2008;23771;Limau Purut;Kluet Utara;Kabupaten Aceh Selatan;Aceh
11.01.02.2009;23771;Pulo Kambing;Kluet Utara;Kabupaten Aceh Selatan;Aceh
11.01.02.2010;23771;Kampung Paya;Kluet Utara;Kabupaten Aceh Selatan;Aceh
11.01.02.2011;23771;Krueng Batu;Kluet Utara;Kabupaten Aceh Selatan;Aceh
11.01.02.2012;23771;Krueng Kluet;Kluet Utara;Kabupaten Aceh Selatan;Aceh
11.01.02.2013;23771;Alur Mas;Kluet Utara;Kabupaten Aceh Selatan;Aceh
11.01.02.2014;23771;Kampung Tinggi;Kluet Utara;Kabupaten Aceh Selatan;Aceh
11.01.02.2015;23771;Ruak;Kluet Utara;Kabupaten Aceh Selatan;Aceh
11.01.02.2016;23771;Simpang Lhee;Kluet Utara;Kabupaten Aceh Selatan;Aceh
11.01.02.2017;23771;Suaq Geuringgeng;Kluet Utara;Kabupaten Aceh Selatan;Aceh
11.01.02.2018;23771;Pasi Kuala Bau;Kluet Utara;Kabupaten Aceh Selatan;Aceh
11.01.02.2019;23771;Kedai Padang;Kluet Utara;Kabupaten Aceh Selatan;Aceh
11.01.02.2020;23771;Kotafajar;Kluet Utara;Kabupaten Aceh Selatan;Aceh
11.01.02.2021;23771;Gunung Pudung;Kluet Utara;Kabupaten Aceh Selatan;Aceh
11.01.03.2001;23772;Suaq Bakung;Kluet Selatan;Kabupaten Aceh Selatan;Aceh
11.01.03.2002;23772;Rantau Binuang;Kluet Selatan;Kabupaten Aceh Selatan;Aceh
11.01.03.2003;23772;Barat Daya;Kluet Selatan;Kabupaten Aceh Selatan;Aceh
11.01.03.2004;23772;Sialang;Kluet Selatan;Kabupaten Aceh Selatan;Aceh
11.01.03.2005;23772;Kapeh;Kluet Selatan;Kabupaten Aceh Selatan;Aceh
11.01.03.2006;23772;Pulo Ie;Kluet Selatan;Kabupaten Aceh Selatan;Aceh
11.01.03.2007;23772;Kedai Runding;Kluet Selatan;Kabupaten Aceh Selatan;Aceh
11.01.03.2008;23772;Kedai Kandang;Kluet Selatan;Kabupaten Aceh Selatan;Aceh
11.01.03.2009;23772;Gampong Luar;Kluet Selatan;Kabupaten Aceh Selatan;Aceh
11.01.03.2010;23772;Ujung;Kluet Selatan;Kabupaten Aceh Selatan;Aceh
11.01.03.2011;23772;Jua;Kluet Selatan;Kabupaten Aceh Selatan;Aceh
11.01.03.2012;23772;Pasi Meurapat;Kluet Selatan;Kabupaten Aceh Selatan;Aceh
11.01.03.2013;23772;Ujung Pasir;Kluet Selatan;Kabupaten Aceh Selatan;Aceh
11.01.03.2014;23772;Geulumbuk;Kluet Selatan;Kabupaten Aceh Selatan;Aceh
11.01.03.2015;23772;Pasie Lembang;Kluet Selatan;Kabupaten Aceh Selatan;Aceh
11.01.03.2016;23772;Ujung Padang;Kluet Selatan;Kabupaten Aceh Selatan;Aceh
11.01.03.2017;23772;Indra Damai;Kluet Selatan;Kabupaten Aceh Selatan;Aceh
11.01.04.2001;23761;Bakau Hulu;Labuhan Haji;Kabupaten Aceh Selatan;Aceh
11.01.04.2002;23761;Padang Bakau;Labuhan Haji;Kabupaten Aceh Selatan;Aceh
11.01.04.2003;23761;Manggis Harapan;Labuhan Haji;Kabupaten Aceh Selatan;Aceh
11.01.04.2004;23761;Pasar Lama;Labuhan Haji;Kabupaten Aceh Selatan;Aceh
11.01.04.2005;23761;Apha;Labuhan Haji;Kabupaten Aceh Selatan;Aceh
11.01.04.2006;23761;Ujung Batu;Labuhan Haji;Kabupaten Aceh Selatan;Aceh
11.01.04.2007;23761;Pawoh;Labuhan Haji;Kabupaten Aceh Selatan;Aceh
11.01.04.2008;23761;Dalam;Labuhan Haji;Kabupaten Aceh Selatan;Aceh
11.01.04.2009;23761;Kota Palak;Labuhan Haji;Kabupaten Aceh Selatan;Aceh
11.01.04.2010;23761;Cacang;Labuhan Haji;Kabupaten Aceh Selatan;Aceh
11.01.04.2011;23761;Tengah Pisang;Labuhan Haji;Kabupaten Aceh Selatan;Aceh
11.01.04.2012;23761;Pisang;Labuhan Haji;Kabupaten Aceh Selatan;Aceh
11.01.04.2013;23761;Hulu Pisang;Labuhan Haji;Kabupaten Aceh Selatan;Aceh
11.01.04.2014;23761;Tengah Baru;Labuhan Haji;Kabupaten Aceh Selatan;Aceh
11.01.04.2015;23761;Lembah Baru;Labuhan Haji;Kabupaten Aceh Selatan;Aceh
11.01.04.2016;23761;Padang Baru;Labuhan Haji;Kabupaten Aceh Selatan;Aceh
11.01.05.2001;23754;Kuta Buloh Ii;Meukek;Kabupaten Aceh Selatan;Aceh
11.01.05.2002;23754;Kuta Buloh I;Meukek;Kabupaten Aceh Selatan;Aceh
11.01.05.2003;23754;Ie Dingen;Meukek;Kabupaten Aceh Selatan;Aceh
11.01.05.2004;23754;Drien Jalo;Meukek;Kabupaten Aceh Selatan;Aceh
11.01.05.2005;23754;Jambo Papeun;Meukek;Kabupaten Aceh Selatan;Aceh
11.01.05.2006;23754;Buket Meuh;Meukek;Kabupaten Aceh Selatan;Aceh
11.01.05.2007;23754;Blang Kuala;Meukek;Kabupaten Aceh Selatan;Aceh
11.01.05.2008;23754;Rot Teungoh;Meukek;Kabupaten Aceh Selatan;Aceh
11.01.05.2009;23754;Alue Baro;Meukek;Kabupaten Aceh Selatan;Aceh
11.01.05.2010;23754;Ladang Tuha;Meukek;Kabupaten Aceh Selatan;Aceh
11.01.05.2011;23754;Lhok Mamplam;Meukek;Kabupaten Aceh Selatan;Aceh
11.01.05.2012;23754;Arun Tunggai;Meukek;Kabupaten Aceh Selatan;Aceh
11.01.05.2013;23754;Blang Teungoh;Meukek;Kabupaten Aceh Selatan;Aceh
11.01.05.2014;23754;Blang Bladeh;Meukek;Kabupaten Aceh Selatan;Aceh
11.01.05.2015;23754;Ie Buboh;Meukek;Kabupaten Aceh Selatan;Aceh
11.01.05.2016;23754;Keude Meukek;Meukek;Kabupaten Aceh Selatan;Aceh
11.01.05.2017;23754;Kuta Baro;Meukek;Kabupaten Aceh Selatan;Aceh
11.01.05.2018;23754;Tanjung Harapan;Meukek;Kabupaten Aceh Selatan;Aceh
11.01.05.2019;23754;Labuhan Tarok;Meukek;Kabupaten Aceh Selatan;Aceh
11.01.05.2020;23754;Lhok Aman;Meukek;Kabupaten Aceh Selatan;Aceh
11.01.05.2021;23754;Alue Meutuah;Meukek;Kabupaten Aceh Selatan;Aceh
11.01.05.2022;23754;Ladang Baro;Meukek;Kabupaten Aceh Selatan;Aceh
11.01.05.2023;23754;Labuhan Tarok Ii;Meukek;Kabupaten Aceh Selatan;Aceh
11.01.06.2001;23752;Dalam;Samadua;Kabupaten Aceh Selatan;Aceh
11.01.06.2002;23752;Subarang;Samadua;Kabupaten Aceh Selatan;Aceh
11.01.06.2003;23752;Kuta Baru;Samadua;Kabupaten Aceh Selatan;Aceh
11.01.06.2004;23752;Gunung Ketek;Samadua;Kabupaten Aceh Selatan;Aceh
11.01.06.2005;23752;Ladang Panton Luas;Samadua;Kabupaten Aceh Selatan;Aceh
11.01.06.2006;23752;Madat;Samadua;Kabupaten Aceh Selatan;Aceh
11.01.06.2007;23752;Alur Seumerah;Samadua;Kabupaten Aceh Selatan;Aceh
11.01.06.2008;23752;Tengah;Samadua;Kabupaten Aceh Selatan;Aceh
11.01.06.2009;23752;Gunung Cut;Samadua;Kabupaten Aceh Selatan;Aceh
11.01.06.2010;23752;Alur Pinang;Samadua;Kabupaten Aceh Selatan;Aceh
11.01.06.2011;23752;Kuta Blang;Samadua;Kabupaten Aceh Selatan;Aceh
11.01.06.2012;23752;Batee Tunggai;Samadua;Kabupaten Aceh Selatan;Aceh
11.01.06.2013;23752;Ujung Tanah;Samadua;Kabupaten Aceh Selatan;Aceh
11.01.06.2014;23752;Ujung Kampung;Samadua;Kabupaten Aceh Selatan;Aceh
11.01.06.2015;23752;Jilatang;Samadua;Kabupaten Aceh Selatan;Aceh
11.01.06.2016;23752;Luar;Samadua;Kabupaten Aceh Selatan;Aceh
11.01.06.2017;23752;Lubuk Layu;Samadua;Kabupaten Aceh Selatan;Aceh
11.01.06.2018;23752;Suaq Hulu;Samadua;Kabupaten Aceh Selatan;Aceh
11.01.06.2019;23752;Tampang;Samadua;Kabupaten Aceh Selatan;Aceh
11.01.06.2020;23752;Payonan Gadang;Samadua;Kabupaten Aceh Selatan;Aceh
11.01.06.2021;23752;Gadang;Samadua;Kabupaten Aceh Selatan;Aceh
11.01.06.2022;23752;Baru;Samadua;Kabupaten Aceh Selatan;Aceh
11.01.06.2023;23752;Ladang Kasik Putih;Samadua;Kabupaten Aceh Selatan;Aceh
11.01.06.2024;23752;Air Sialang Hilir.;Samadua;Kabupaten Aceh Selatan;Aceh
11.01.06.2025;23752;Air Sialang Hulu;Samadua;Kabupaten Aceh Selatan;Aceh
11.01.06.2026;23752;Air Sialang Tengah;Samadua;Kabupaten Aceh Selatan;Aceh
11.01.06.2027;23752;Balai;Samadua;Kabupaten Aceh Selatan;Aceh
11.01.06.2028;23752;Arafah;Samadua;Kabupaten Aceh Selatan;Aceh
11.01.07.2001;23753;Sikulat;Sawang;Kabupaten Aceh Selatan;Aceh
11.01.07.2002;23753;Sawang I;Sawang;Kabupaten Aceh Selatan;Aceh
11.01.07.2003;23753;Meuligo;Sawang;Kabupaten Aceh Selatan;Aceh
11.01.07.2004;23753;Lhok Pawoh;Sawang;Kabupaten Aceh Selatan;Aceh
11.01.07.2005;23753;Sawang Ii;Sawang;Kabupaten Aceh Selatan;Aceh
11.01.07.2006;23753;Ujung Karang;Sawang;Kabupaten Aceh Selatan;Aceh
11.01.07.2007;23753;Trieng Meuduro Baroh;Sawang;Kabupaten Aceh Selatan;Aceh
11.01.07.2008;23753;Trieng Meuduro Tunong;Sawang;Kabupaten Aceh Selatan;Aceh
11.01.07.2009;23753;Panton Luas;Sawang;Kabupaten Aceh Selatan;Aceh
11.01.07.2010;23753;Simpang Tiga;Sawang;Kabupaten Aceh Selatan;Aceh
11.01.07.2011;23753;Kuta Baro;Sawang;Kabupaten Aceh Selatan;Aceh
11.01.07.2012;23753;Blang Geulinggang;Sawang;Kabupaten Aceh Selatan;Aceh
11.01.07.2013;23753;Mutiara;Sawang;Kabupaten Aceh Selatan;Aceh
11.01.07.2014;23753;Ujung Padang;Sawang;Kabupaten Aceh Selatan;Aceh
11.01.07.2015;23753;Sawang Bau;Sawang;Kabupaten Aceh Selatan;Aceh
11.01.08.2001;23718;Lhok Keutapang;Tapaktuan;Kabupaten Aceh Selatan;Aceh
11.01.08.2002;23717;Hilir;Tapaktuan;Kabupaten Aceh Selatan;Aceh
11.01.08.2003;23713;Padang;Tapaktuan;Kabupaten Aceh Selatan;Aceh
11.01.08.2004;23714;Hulu;Tapaktuan;Kabupaten Aceh Selatan;Aceh
11.01.08.2005;23716;Jambo Apha;Tapaktuan;Kabupaten Aceh Selatan;Aceh
11.01.08.2006;23712;Tepi Air;Tapaktuan;Kabupaten Aceh Selatan;Aceh
11.01.08.2007;23711;Pasar;Tapaktuan;Kabupaten Aceh Selatan;Aceh
11.01.08.2008;23715;Lhok Bengkuang;Tapaktuan;Kabupaten Aceh Selatan;Aceh
11.01.08.2009;23711;Panton Luas;Tapaktuan;Kabupaten Aceh Selatan;Aceh
11.01.08.2010;23711;Gunung Kerambil;Tapaktuan;Kabupaten Aceh Selatan;Aceh
11.01.08.2011;23711;Air Berudang;Tapaktuan;Kabupaten Aceh Selatan;Aceh
11.01.08.2012;23711;Batu Itam;Tapaktuan;Kabupaten Aceh Selatan;Aceh
11.01.08.2013;23711;Panjupian;Tapaktuan;Kabupaten Aceh Selatan;Aceh
11.01.08.2014;23711;Lhok Rukam;Tapaktuan;Kabupaten Aceh Selatan;Aceh
11.01.08.2015;23711;Air Pinang;Tapaktuan;Kabupaten Aceh Selatan;Aceh
11.01.08.2016;23712;Lhok Bengkuang Timur;Tapaktuan;Kabupaten Aceh Selatan;Aceh
11.01.09.2001;23774;Keude Trumon;Trumon;Kabupaten Aceh Selatan;Aceh
11.01.09.2002;23774;Ujong Tanoh;Trumon;Kabupaten Aceh Selatan;Aceh
11.01.09.2003;23774;Sigleng;Trumon;Kabupaten Aceh Selatan;Aceh
11.01.09.2004;23774;Ie Meudama;Trumon;Kabupaten Aceh Selatan;Aceh
11.01.09.2005;23774;Tuepin Tinggi;Trumon;Kabupaten Aceh Selatan;Aceh
11.01.09.2006;23774;Kuta Baro;Trumon;Kabupaten Aceh Selatan;Aceh
11.01.09.2007;23774;Panton Bilie;Trumon;Kabupaten Aceh Selatan;Aceh
11.01.09.2012;23774;Kuta Padang;Trumon;Kabupaten Aceh Selatan;Aceh
11.01.09.2013;23774;Raket;Trumon;Kabupaten Aceh Selatan;Aceh
11.01.09.2014;23774;Gampong Teungoh;Trumon;Kabupaten Aceh Selatan;Aceh
11.01.09.2015;23774;Seuneubok Jaya;Trumon;Kabupaten Aceh Selatan;Aceh
11.01.09.2016;23774;Padang Harapan;Trumon;Kabupaten Aceh Selatan;Aceh
11.01.10.2001;23755;Ladang Teungoh;Pasi Raja;Kabupaten Aceh Selatan;Aceh
11.01.10.2002;23755;Pucok Krueng;Pasi Raja;Kabupaten Aceh Selatan;Aceh
11.01.10.2003;23755;Silolo;Pasi Raja;Kabupaten Aceh Selatan;Aceh
11.01.10.2004;23755;Kampung Baru;Pasi Raja;Kabupaten Aceh Selatan;Aceh
11.01.10.2005;23755;Panton Bili;Pasi Raja;Kabupaten Aceh Selatan;Aceh
11.01.10.2006;23755;Paya Ateuk;Pasi Raja;Kabupaten Aceh Selatan;Aceh
11.01.10.2007;23755;Ladang Tuha;Pasi Raja;Kabupaten Aceh Selatan;Aceh
11.01.10.2008;23755;Mata Ie;Pasi Raja;Kabupaten Aceh Selatan;Aceh
11.01.10.2009;23755;Ujong Batee;Pasi Raja;Kabupaten Aceh Selatan;Aceh
11.01.10.2010;23755;Lhok Sialang Cut;Pasi Raja;Kabupaten Aceh Selatan;Aceh
11.01.10.2011;23755;Seuneubok;Pasi Raja;Kabupaten Aceh Selatan;Aceh
11.01.10.2012;23755;Ie Mirah;Pasi Raja;Kabupaten Aceh Selatan;Aceh
11.01.10.2013;23755;Pasie Rasian;Pasi Raja;Kabupaten Aceh Selatan;Aceh
11.01.10.2014;23755;Ujung Padang Rasian;Pasi Raja;Kabupaten Aceh Selatan;Aceh
11.01.10.2015;23755;Krueng Kalee;Pasi Raja;Kabupaten Aceh Selatan;Aceh
11.01.10.2016;23755;Lhok Sialang Rayeuk;Pasi Raja;Kabupaten Aceh Selatan;Aceh
11.01.10.2017;23755;Gampong Baro;Pasi Raja;Kabupaten Aceh Selatan;Aceh
11.01.10.2018;23755;Teupin Gajah;Pasi Raja;Kabupaten Aceh Selatan;Aceh
11.01.10.2019;23755;Ujung Padang Asahan;Pasi Raja;Kabupaten Aceh Selatan;Aceh
11.01.10.2020;23755;Pulo Ie Ii;Pasi Raja;Kabupaten Aceh Selatan;Aceh
11.01.10.2021;23755;Pante Raja;Pasi Raja;Kabupaten Aceh Selatan;Aceh
11.01.11.2001;23758;Tengah Peulumat;Labuhan Haji Timur;Kabupaten Aceh Selatan;Aceh
11.01.11.2002;23758;Paya Peulumat;Labuhan Haji Timur;Kabupaten Aceh Selatan;Aceh
11.01.11.2003;23758;Padang Peulumat;Labuhan Haji Timur;Kabupaten Aceh Selatan;Aceh
11.01.11.2004;23758;Aur Peulumat;Labuhan Haji Timur;Kabupaten Aceh Selatan;Aceh
11.01.11.2005;23758;Limau Saring;Labuhan Haji Timur;Kabupaten Aceh Selatan;Aceh
11.01.11.2006;23758;Beutong;Labuhan Haji Timur;Kabupaten Aceh Selatan;Aceh
11.01.11.2007;23758;Peuneulop;Labuhan Haji Timur;Kabupaten Aceh Selatan;Aceh
11.01.11.2008;23758;Gunung Rotan;Labuhan Haji Timur;Kabupaten Aceh Selatan;Aceh
11.01.11.2009;23758;Keumumu Hilir;Labuhan Haji Timur;Kabupaten Aceh Selatan;Aceh
11.01.11.2010;23758;Keumumu Hulu;Labuhan Haji Timur;Kabupaten Aceh Selatan;Aceh
11.01.11.2011;23758;Keumumu Seberang;Labuhan Haji Timur;Kabupaten Aceh Selatan;Aceh
11.01.11.2012;23758;Sawang Indah;Labuhan Haji Timur;Kabupaten Aceh Selatan;Aceh
11.01.12.2001;23757;Tutong;Labuhan Haji Barat;Kabupaten Aceh Selatan;Aceh
11.01.12.2002;23757;Teungoh Iboh;Labuhan Haji Barat;Kabupaten Aceh Selatan;Aceh
11.01.12.2003;23757;Peulokan;Labuhan Haji Barat;Kabupaten Aceh Selatan;Aceh
11.01.12.2004;23757;Kuta Iboh;Labuhan Haji Barat;Kabupaten Aceh Selatan;Aceh
11.01.12.2005;23757;Ujung Padang;Labuhan Haji Barat;Kabupaten Aceh Selatan;Aceh
11.01.12.2006;23757;Blang Baru;Labuhan Haji Barat;Kabupaten Aceh Selatan;Aceh
11.01.12.2007;23757;Blang Poroh;Labuhan Haji Barat;Kabupaten Aceh Selatan;Aceh
11.01.12.2008;23757;Pulo Ie;Labuhan Haji Barat;Kabupaten Aceh Selatan;Aceh
11.01.12.2009;23757;Suak Lokan;Labuhan Haji Barat;Kabupaten Aceh Selatan;Aceh
11.01.12.2010;23757;Iku Lhueng;Labuhan Haji Barat;Kabupaten Aceh Selatan;Aceh
11.01.12.2011;23757;Kuta Trieng;Labuhan Haji Barat;Kabupaten Aceh Selatan;Aceh
11.01.12.2012;23757;Pante Geulima;Labuhan Haji Barat;Kabupaten Aceh Selatan;Aceh
11.01.12.2013;23757;Panton Pawoh;Labuhan Haji Barat;Kabupaten Aceh Selatan;Aceh
11.01.12.2014;23757;Batee Meucanang;Labuhan Haji Barat;Kabupaten Aceh Selatan;Aceh
11.01.12.2015;23757;Panton Rubek;Labuhan Haji Barat;Kabupaten Aceh Selatan;Aceh
11.01.13.2001;23770;Koto;Kluet Tengah;Kabupaten Aceh Selatan;Aceh
11.01.13.2002;23770;Alur Keujrun;Kluet Tengah;Kabupaten Aceh Selatan;Aceh
11.01.13.2003;23770;Jambo Papan;Kluet Tengah;Kabupaten Aceh Selatan;Aceh
11.01.13.2004;23770;Malaka;Kluet Tengah;Kabupaten Aceh Selatan;Aceh
11.01.13.2005;23770;Koto Indarung;Kluet Tengah;Kabupaten Aceh Selatan;Aceh
11.01.13.2006;23770;Siurai-urai;Kluet Tengah;Kabupaten Aceh Selatan;Aceh
11.01.13.2007;23770;Kampung Sawah;Kluet Tengah;Kabupaten Aceh Selatan;Aceh
11.01.13.2008;23770;Kampung Padang;Kluet Tengah;Kabupaten Aceh Selatan;Aceh
11.01.13.2009;23770;Pulo Air;Kluet Tengah;Kabupaten Aceh Selatan;Aceh
11.01.13.2010;23770;Lawe Melang;Kluet Tengah;Kabupaten Aceh Selatan;Aceh
11.01.13.2011;23770;Mersak;Kluet Tengah;Kabupaten Aceh Selatan;Aceh
11.01.13.2012;23770;Simpang Dua;Kluet Tengah;Kabupaten Aceh Selatan;Aceh
11.01.13.2013;23770;Simpang Tiga;Kluet Tengah;Kabupaten Aceh Selatan;Aceh
11.01.14.2001;23779;Paya Dapur;Kluet Timur;Kabupaten Aceh Selatan;Aceh
11.01.14.2002;23779;Sapik;Kluet Timur;Kabupaten Aceh Selatan;Aceh
11.01.14.2003;23779;Alai;Kluet Timur;Kabupaten Aceh Selatan;Aceh
11.01.14.2004;23779;Durian Kawan;Kluet Timur;Kabupaten Aceh Selatan;Aceh
11.01.14.2005;23779;Lawe Sawah;Kluet Timur;Kabupaten Aceh Selatan;Aceh
11.01.14.2006;23779;Lawe Buluh Didi;Kluet Timur;Kabupaten Aceh Selatan;Aceh
11.01.14.2007;23779;Pucuk Lembang;Kluet Timur;Kabupaten Aceh Selatan;Aceh
11.01.14.2008;23779;Paya Laba;Kluet Timur;Kabupaten Aceh Selatan;Aceh
11.01.14.2009;23779;Lawe Cimanok;Kluet Timur;Kabupaten Aceh Selatan;Aceh
11.01.15.2001;23777;Pasie Seubadeh;Bakongan Timur;Kabupaten Aceh Selatan;Aceh
11.01.15.2002;23777;Ladang Rimba;Bakongan Timur;Kabupaten Aceh Selatan;Aceh
11.01.15.2003;23777;Ujong Pulo Rayeuk;Bakongan Timur;Kabupaten Aceh Selatan;Aceh
11.01.15.2004;23777;Sawah Tingkeum;Bakongan Timur;Kabupaten Aceh Selatan;Aceh
11.01.15.2005;23777;Simpang;Bakongan Timur;Kabupaten Aceh Selatan;Aceh
11.01.15.2006;23777;Ujong Pulo Cut;Bakongan Timur;Kabupaten Aceh Selatan;Aceh
11.01.15.2008;23777;Seuleukat;Bakongan Timur;Kabupaten Aceh Selatan;Aceh
11.01.16.2005;23776;Pinto Rimba;Trumon Timur;Kabupaten Aceh Selatan;Aceh
11.01.16.2006;23776;Krueng Luas;Trumon Timur;Kabupaten Aceh Selatan;Aceh
11.01.16.2007;23776;Jambo Dalem;Trumon Timur;Kabupaten Aceh Selatan;Aceh
11.01.16.2008;23776;Kapa Sesak;Trumon Timur;Kabupaten Aceh Selatan;Aceh
11.01.16.2009;23776;Seuneubok Punto;Trumon Timur;Kabupaten Aceh Selatan;Aceh
11.01.16.2010;23776;Seuneubok Pusaka;Trumon Timur;Kabupaten Aceh Selatan;Aceh
11.01.16.2011;23776;Alur Bujok;Trumon Timur;Kabupaten Aceh Selatan;Aceh
11.01.16.2012;23776;Titi Poben;Trumon Timur;Kabupaten Aceh Selatan;Aceh
11.01.17.2001;23778;Buket Gadeng;Kota Bahagia;Kabupaten Aceh Selatan;Aceh
11.01.17.2002;23778;Rambong;Kota Bahagia;Kabupaten Aceh Selatan;Aceh
11.01.17.2003;23778;Seuneubok Keuranji;Kota Bahagia;Kabupaten Aceh Selatan;Aceh
11.01.17.2004;23778;Seuneubok Alur Buloh;Kota Bahagia;Kabupaten Aceh Selatan;Aceh
11.01.17.2005;23778;Ujong Tanoh;Kota Bahagia;Kabupaten Aceh Selatan;Aceh
11.01.17.2006;23778;Ujong Gunong Cut;Kota Bahagia;Kabupaten Aceh Selatan;Aceh
11.01.17.2007;23778;Ujong Gunung Rayeuk;Kota Bahagia;Kabupaten Aceh Selatan;Aceh
11.01.17.2008;23778;Beutong;Kota Bahagia;Kabupaten Aceh Selatan;Aceh
11.01.17.2009;23778;Jambo Keupok;Kota Bahagia;Kabupaten Aceh Selatan;Aceh
11.01.17.2010;23778;Alurduamas;Kota Bahagia;Kabupaten Aceh Selatan;Aceh
11.01.18.2001;23775;Ladang Rimba;Trumon Tengah;Kabupaten Aceh Selatan;Aceh
11.01.18.2002;23775;Gunong Kapho;Trumon Tengah;Kabupaten Aceh Selatan;Aceh
11.01.18.2003;23775;Kampong Teungoh;Trumon Tengah;Kabupaten Aceh Selatan;Aceh
11.01.18.2004;23775;Krueng Batee;Trumon Tengah;Kabupaten Aceh Selatan;Aceh
11.01.18.2005;23775;Pulo Paya;Trumon Tengah;Kabupaten Aceh Selatan;Aceh
11.01.18.2006;23775;Jambo Papeun;Trumon Tengah;Kabupaten Aceh Selatan;Aceh
11.01.18.2007;23775;Cot Bayu;Trumon Tengah;Kabupaten Aceh Selatan;Aceh
11.01.18.2008;23775;Naca;Trumon Tengah;Kabupaten Aceh Selatan;Aceh
11.01.18.2009;23775;Ie Jeureuneh;Trumon Tengah;Kabupaten Aceh Selatan;Aceh
11.01.18.2010;23775;Lhok Raya;Trumon Tengah;Kabupaten Aceh Selatan;Aceh
11.02.01.2001;24661;Engkeran;Lawe Alas;Kabupaten Aceh Tenggara;Aceh
11.02.01.2002;24661;Rumah Kampung;Lawe Alas;Kabupaten Aceh Tenggara;Aceh
11.02.01.2004;24661;Pasir Bangun;Lawe Alas;Kabupaten Aceh Tenggara;Aceh
11.02.01.2006;24661;Kubu;Lawe Alas;Kabupaten Aceh Tenggara;Aceh
11.02.01.2007;24661;Lawe Kongker;Lawe Alas;Kabupaten Aceh Tenggara;Aceh
11.02.01.2008;24661;Kuta Cingkam Ii;Lawe Alas;Kabupaten Aceh Tenggara;Aceh
11.02.01.2009;24661;Muara Baru;Lawe Alas;Kabupaten Aceh Tenggara;Aceh
11.02.01.2011;24661;Kuta Batu I;Lawe Alas;Kabupaten Aceh Tenggara;Aceh
11.02.01.2012;24661;Kuta Cingkam I;Lawe Alas;Kabupaten Aceh Tenggara;Aceh
11.02.01.2013;24661;Kuta Batu Ii;Lawe Alas;Kabupaten Aceh Tenggara;Aceh
11.02.01.2014;24661;Lawe Sempilang;Lawe Alas;Kabupaten Aceh Tenggara;Aceh
11.02.01.2015;24661;Prapat Batu Nunggul;Lawe Alas;Kabupaten Aceh Tenggara;Aceh
11.02.01.2016;24661;Pulo Sepang;Lawe Alas;Kabupaten Aceh Tenggara;Aceh
11.02.01.2017;24661;Rih Mbelang;Lawe Alas;Kabupaten Aceh Tenggara;Aceh
11.02.01.2018;24661;Kute Batu Baru;Lawe Alas;Kabupaten Aceh Tenggara;Aceh
11.02.01.2019;24661;Darul Amin;Lawe Alas;Kabupaten Aceh Tenggara;Aceh
11.02.01.2020;24661;Lawe Lubang Indah;Lawe Alas;Kabupaten Aceh Tenggara;Aceh
11.02.01.2021;24661;Batu Hamparan;Lawe Alas;Kabupaten Aceh Tenggara;Aceh
11.02.01.2022;24661;Paye Munje;Lawe Alas;Kabupaten Aceh Tenggara;Aceh
11.02.01.2023;24661;Pulo Ndapdap;Lawe Alas;Kabupaten Aceh Tenggara;Aceh
11.02.01.2024;24661;Pasir Nunggul;Lawe Alas;Kabupaten Aceh Tenggara;Aceh
11.02.01.2025;24661;Cingkham Mekhanggun;Lawe Alas;Kabupaten Aceh Tenggara;Aceh
11.02.01.2026;24661;Pintu Khimbe;Lawe Alas;Kabupaten Aceh Tenggara;Aceh
11.02.01.2027;24661;Lawe Kongker Hilir;Lawe Alas;Kabupaten Aceh Tenggara;Aceh
11.02.01.2028;24661;Pulo Gadung;Lawe Alas;Kabupaten Aceh Tenggara;Aceh
11.02.01.2029;24661;Pasikh Pehkmate;Lawe Alas;Kabupaten Aceh Tenggara;Aceh
11.02.01.2030;24661;Pasikh Nunang;Lawe Alas;Kabupaten Aceh Tenggara;Aceh
11.02.01.2031;24661;Deleng Kukusen;Lawe Alas;Kabupaten Aceh Tenggara;Aceh
